rfid	soc_totalti_max	soc_totalti_16_5	soc_totalti_13_5	soc_totalti_10_5	soc_totalti_7_5	soc_totalti_4_5	soc_totalti_1_5	soc_totalti	soc_totalrf	soc_totalrs_max	soc_totalrs_16_5	soc_totalrs_13_5	soc_totalrs_10_5	soc_totalrs_7_5	soc_totalrs_4_5	soc_totalrs_1_5	soc_totalrs	soc_opconti_max	soc_opconti_16_5	soc_opconti_13_5	soc_opconti_10_5	soc_opconti_7_5	soc_opconti_4_5	soc_opconti_1_5	soc_opconti	soc_opconrf	soc_opconrs_max	soc_opconrs_16_5	soc_opconrs_13_5	soc_opconrs_10_5	soc_opconrs_7_5	soc_opconrs_4_5	soc_opconrs_1_5	soc_opconrfq	soc_opconrs	soc_midconti_max	soc_midconti_16_5	soc_midconti_13_5	soc_midconti_10_5	soc_midconti_7_5	soc_midconti_4_5	soc_midconti_1_5	soc_midconti	soc_midconrf	soc_midconrs_max	soc_midconrs_16_5	soc_midconrs_13_5	soc_midconrs_10_5	soc_midconrs_7_5	soc_midconrs_4_5	soc_midconrs_1_5	soc_midconrfq	soc_midconrs	soc_socialti_max	soc_socialti_16_5	soc_socialti_13_5	soc_socialti_10_5	soc_socialti_7_5	soc_socialti_4_5	soc_socialti_1_5	soc_socialti	soc_socialrf	soc_socialrs_max	soc_socialrs_16_5	soc_socialrs_13_5	soc_socialrs_10_5	soc_socialrs_7_5	soc_socialrs_4_5	soc_socialrs_1_5	soc_socialrfq	soc_socialrs	soc_age	soc_box_id
00077E6B83	15334	15334	15166	11153	11834	10500	9140	73127	88	221	105	92	116	221	130	137	801	6091	6091	4031	1949	4124	4544	2556	23295	29	31	6	17	13	31	20	18	0.131086142	105	2480	1187	2400	2480	1037	1389	1068	9561	25	31	31	31	7	6	16	24	0.143570537	115	8735	8056	8735	6724	6673	4567	5516	40271	34	184	68	44	96	184	94	95	0.725343321	581	72	S1
00077E6C69	11941	7394	1812	11941	5289	9917	5759	42112	68	175	8	16	37	41	48	175	325	4949	743	895	4949	1026	3175	1743	12531	24	40	1	2	4	2	14	40	0.193846154	63	3253	100	31	3012	1009	285	3253	7690	20	27	2	1	4	12	8	27	0.166153846	54	6457	3157	886	3980	3254	6457	763	21891	24	108	5	13	29	27	26	108	0.64	208	72	S5
00077E77AF	11848	6798	11588	11807	11729	11848	10525	64295	81	100	17	43	35	57	55	100	307	3744	3179	2965	3744	1705	2596	1634	15823	26	32	7	6	3	32	17	25	0.293159609	90	3208		1576	1105	1886	2213	3208	9988	21	32	0	12	5	10	17	32	0.247557003	76	8138	3619	7047	6958	8138	7039	5683	38484	34	43	10	25	27	15	21	43	0.459283388	141	65	S8
00077E7570	7170	4236	6857	7170	4276	6098	6544	35181	63	106	31	57	21	25	70	106	310	3413	3271	482	3413	2781	1496	1664	13107	24	17	14	1	17	6	8	17	0.203225806	63	4037	874	564	3211	718	1938	4037	11342	20	40	3	3	2	11	40	31	0.290322581	90	5811	91	5811	546	777	2664	843	10732	19	58	14	53	2	8	22	58	0.506451613	157	62	S8
00077E7582	16474	16474	13584	12184	10756	12972	8871	74841	85	77	68	34	39	41	54	77	313	10424	9068	10424	7584	5054	4822	1251	38203	27	55	55	14	22	16	12	27	0.466453674	146	4294	4294	955	1647	2610	3874	1450	14830	25	21	4	3	7	4	21	14	0.169329074	53	6170	3112	2205	2953	3092	4276	6170	21808	33	36	9	17	10	21	21	36	0.364217252	114	62	S8
00077E7588																																																																									
00077E7887																																																																									
00077E75A3	14157	8556	6784	6637	10312	14157	10971	57417	69	98	21	35	28	35	50	98	267	4021	2344	3105	3786	4021	1981	1460	16697	21	21	10	15	16	8	17	21	0.325842697	87	5295	963	1103		1111	5295	4538	13010	14	29	9	2	0	1	14	29	0.018726592	55	6881	124	2576	2851	5180	6881	4973	27710	34	48	2	18	12	26	19	48	0.468164794	125	55	S3
00077E75C8	16285	15051	7733	10442	12648	16285	9530	71689	86	109	42	57	66	76	109	107	457	8555	8555	4725	1468	3268	2308	1110	21434	26	42	18	7	14	42	37	26	0.315098468	144	2873	318	507	1390	2220	1961	2873	9269	24	33	7	4	23	12	33	27	0.013129103	106	10645	6178	2501	7584	7160	10645	5547	40986	36	54	17	46	29	22	39	54	0.452954048	207	71	S5
00077E75CD																																																																									
00077E75E2	10764	2266	7633	10764	4776	8669	4538	38646	57	81	19	22	17	35	44	81	218	4748	1851	2332	4748	408	872	1446	11657	21	25	15	9	8	6	18	25	0.371559633	81	910		84	112	910	149	147	1402	12	17	1	3	1	15	6	17	0.197247706	43	7648	415	5217	5904	3458	7648	2945	25587	24	39	3	10	8	14	20	39	0.431192661	94	58	S5
00077E7600	13265	7228	3698	4844	13265	7135	6954	43124	83	95	53	95	80	53	58	80	419	2493	2452	2493	1892	2407	2189	1924	13357	31	49	35	49	31	21	19	20	0.417661098	175	129	35	58	86	110	49	129	467	16	25	3	6	19	3	10	25	0.1575179	66	10748	4741	1147	2866	10748	4897	4901	29300	36	40	15	40	30	29	29	35	0.424821002	178	64	S5
00077E7607	17016	5500	6141	13589	11495	17016	8862	62603	65	95	16	41	11	27	26	95	216	2900	1905		1623	2765	2900	1709	10902	19	21	5	0	5	8	6	21	0.208333333	45	3380	1325	961	1271	1939	2849	3380	11725	18	35	3	1	1	4	6	35	0.023148148	50	11267	2270	5180	10695	6791	11267	3773	39976	28	40	8	40	5	15	14	39	0.560185185	121	59	S4
00077E7641	18072	6503	14399	18072	10069	12107	8797	69947	93	110	100	61	65	63	96	110	495	7689	186	7689	1527	3433	5866	2245	20946	27	33	19	20	11	12	21	33	0.234343434	116	2860	667	633	2611	2860	1458	2699	10928	30	43	14	14	9	14	43	39	0.01010101	133	9914	5650	6077	9914	3776	4783	3853	38073	36	67	67	27	45	37	32	38	0.496969697	246	62	S1
00077E9A08	11694	3802	9054	10077	10203	11694	6733	51563	67	75	37	75	48	40	47	71	318	1861	360	1645	1861	465	898	1200	6429	16	20	2	3	4	5	4	20	0.119496855	38	4464	1526	3004	1961	4464	2433	2943	16331	26	26	17	25	7	18	17	26	0.34591195	110	8363	1916	4405	6255	5274	8363	2590	28803	25	47	18	47	37	17	26	25	0.534591195	170	74	S1
00077E7647	9368	6096	5082	3065	9368	6327	5686	35624	77	94	19	60	45	43	59	94	320	2770	1495	1446	1274	2770	2324	726	10035	24	26	2	9	13	10	14	26	0.23125	74	2420	248	779	337	2048	1783	2420	7615	22	26	2	7	4	13	13	26	0.203125	65	4550	4353	2857	1454	4550	2220	2540	17974	31	44	15	44	28	20	32	42	0.565625	181	69	S4
00077E7649	13256	12392	5341	13256	5582	7956	3883	48410	63	83	30	74	28	65	83	75	355	4562	4562	137	325	397	1312	1002	7735	22	29	4	12	2	29	20	27	0.264788732	94	871	535		871	796	382	739	3323	22	24	3	0	14	6	24	16	0.177464789	63	12060	7295	5204	12060	4389	6262	2142	37352	19	62	23	62	12	30	39	32	0.557746479	198	61	S3
00077E765F	21386	18630	5196	21386	8435	4962	8779	67388	72	64	22	64	27	33	54	57	257	4355	1396	2091	4355	1851	1281	721	11695	23	23	2	23	8	17	19	18	0.338521401	87	4145	544	2837	2194	4145	2121	2931	14772	21	20	6	17	4	5	20	15	0.023346304	67	16690	16690	268	9873	2439	1560	5127	40921	28	24	14	24	15	11	15	24	0.40077821	103	69	S6
00077E7B9C	9946	1568	9946	449	6208	4947	5396	28514	46	115	8	19	27	28	51	115	248	2700	7	2700		1175	1308	1214	6771	13	23	3	7	0	15	4	23	0.209677419	52	1665	97	1395	417	940		1665	4514	12	37	2	1	1	2	15	37	0.233870968	58	5851	1464	5851	32	4093	3272	2517	17229	21	55	3	11	26	11	32	55	0.556451613	138	74	S3
00077E7664	9650	9650	1953	4660	8255	4841	8421	37780	65	72	23	17	35	27	32	72	206	2515	2515	133	1608	675	1264	1628	7823	19	29	8	11	29	7	14	17	0.417475728	86	2007		1492	62	1834	2007	908	6303	18	19	1	3	1	4	7	19	0.169902913	35	7135	7135	328	2990	5746	1570	5885	23654	28	36	14	3	5	16	11	36	0.412621359	85	67	S5
00077E769E	15176	6758	6425	15176	6995	8964	8956	53274	73	70	24	9	20	31	47	70	201	3473	3473		2406	335	1977	734	8925	16	22	3	0	8	11	12	22	0.278606965	56	4758	1363	2816	2088	2421	2894	4758	16340	24	17	3	4	4	10	13	17	0.253731343	51	10682	1922	3609	10682	4239	4093	3464	28009	33	31	18	5	8	10	22	31	0.467661692	94	64	S4
00077E76E7	16296	12496	8901	12591	14289	16296	7245	71818	90	152	91	99	62	84	88	152	576	8256	8256	1973	4733	4838	2710	1651	24161	29	56	13	56	26	27	32	32	0.322916667	186	5001	1045	5001	2169	3802	3544	1732	17293	30	63	7	22	11	32	33	63	0.291666667	168	10042	3195	1927	5689	5649	10042	3862	30364	31	71	71	21	25	25	23	57	0.385416667	222	59	S6
00077E9EF9																																																																									
00077E76EE	7288	746	7288	5741	2994	6629	6127	29525	51	61	3	6	27	21	34	61	152	2843		2843	488	1803	998	1613	7745	19	22	0	2	21	2	6	22	0.348684211	53	2334	603		2334	275	457	1784	5453	15	18	2	1	2	2	11	18	0.019736842	36	5174	143	4445	2919	916	5174	2730	16327	17	21	1	3	4	17	17	21	0.414473684	63	85	S6
00077E7714	19420	7734	11218	19420	12148	16615	14923	82058	92	132	34	45	59	43	71	132	384	4920	332	3987	4920	3555	3132	3405	19331	29	39	11	10	8	15	23	39	0.276041667	106	5187	3770	1534	5187	1570	3455	2630	18146	27	26	3	8	22	9	26	22	0.234375	90	10028	3632	5697	9313	7023	10028	8888	44581	36	71	20	27	29	19	22	71	0.489583333	188	83	S4
00077E772F	8207	2055	2805	4275	3707	8207	4339	25503	51	76	3	76	12	12	21	43	167	1665		431	1579	520	1665	1487	5682	16	15	0	3	5	9	6	15	0.22754491	38	1685	939	423	69	893	1685	1608	5732	17	13	2	2	2	1	8	13	0.167664671	28	4857	1116	1951	2627	2294	4857	1244	14089	18	71	1	71	5	2	7	15	0.604790419	101	83	S7
00077E9EFB																																																																									
