rfid	rig_group	box	cue_age	inta_01_age	inta_15_age	pr_01_age	pr_02_age	sha_01_age	sha_10_age	shock_03_age	shock_base_age	labanimalid	sha_acquisition	sha_01_rewards	sha_01_locomotion	sha_01_inactive	sha_10_rewards	sha_10_locomotion	sha_10_inactive	sha_tot_rewards	sha_tot_locomotion	inta_01_rewards	inta_01_locomotion	inta_01_inactive	inta_15_rewards	inta_15_locomotion	inta_15_inactive	inta_tot_rewards	inta_tot_locomotion	inta_loco_difference	inta_esc_olivier_avg	inta_esc	inta_01_rewards_z	inta_13_15_rewards_z	inta_index_esc	inta_variability	inta_rewards_13_15	pr_01_breakpoint	pr_01_active	pr_01_inactive	pr_02_breakpoint	pr_02_active	pr_02_inactive	pr_breakpoint_difference	pr_active_difference	shock_base_active	cue_active	cue_inactive	cue_locomotion	life_tot_rewards	water_term_active	ld_hidetime_baseline	ld_hidetime_post	ld_hidetime_difference
AA1DCD6668	oscar_2	2		117	137	116	138	102	115	144	142	P336	0	4	1290	0	2	1558	1	19	16909	6	3272	1	11	6467	0	133	65658	3195	4.333333333	5	-0.776503792	-0.949222305	1.222430998	3.739280977	11.33333333	0	0	0	1	1	0	1	1	9	53	10	1928		20	784.43	610.8	-173.63
AA1DCD6683	oscar_1	7		117	137	116	138	102	115	144	142	P337	0	0	1286	3	2	579	0	7	8714	0	819	0	1	1570	1	9	15333	751	0	1	-1.131188682	-1.452281919	1.283854712	0.489897949	0.666666667	1	1	2	0	0	0	-1	-1	1	2	2	953		1	352	868.33	516.33
AA1DCD6661	oscar_2	7		116	136	115	137	101	114	143	141	P342	9	87	4415	1	58	2584	1	487	45984	37	10920	1	45	11370	4	580	164535	450	3.666666667	8	1.056034808	0.481353472	0.455812127	4.962078418	41.66666667	118	674	23	95	532	20	-23	-142	29	66	9	3591		33	884.7	407.4	-477.3
AA1DCD6635	mork_3	6		115	135	114	136	100	113	142	140	P343	3	9	849	0	25	10080	16	89	31400	29	13707	10	49	15593	3	590	288164	1886	11.33333333	20	0.583121621	0.607118376	1.041152229	6.171619633	44.33333333	15	65	26	118	644	104	103	579	26	114	23	3466		36	701.53	525.23	-176.3
AA1DCD6670	oscar_3	3		115	135	114	136	100	113	142	140	P344	10	32	8966	6	34	6693	0	289	72407	22	10676	1	34	13959	1	435	194253	3283	7	12	0.169322583	-0.053147368	-0.313882335	3.777124126	30.33333333	40	208	25	77	423	40	37	215	19	82	33	3011		53	463.1	453.47	-9.63
AA1DCD662F	oscar_1	3		115	135	114	136	100	113	142	140	P345	9	10	1201	0	28	3860	0	280	41082	0	1386	0	30	12827	0	410	162510	11441	16.66666667	30	-1.131188682	0.056896923	-0.050298349	9.371351142	32.66666667	145	865	0	328	1980	31	183	1115	21	75	8	2798		34	422.2	142.77	-279.43
AA1DCD6641	mork_3	7		115	135	114	136	100	113	142	140	P346	5	13	5545	6	37	5044	3	164	50556	38	12676	3	19	9071	2	552	222694	-3605	-22.33333333	-19	1.115148957	-0.320397788	-0.287313893	11.01029821	24.66666667	25	124	5	62	338	13	37	214	30	80	4	4293		28	329	436.8	107.8
AA1DCD665D	oscar_3	6		114	134	113	135	99	112	141	139	P348	5	12	8386	30	32	9407	0	177	84221	36	21881	2	41	22404	0	462	266134	523	2.666666667	5	0.99692066	0.151220601	0.151687699	9.064215355	34.66666667	178	957	9	268	1587	30	90	630	22	63	24	3107		33	642.33	468.57	-173.76
AA1DCD668F	mork_3	8		113	133	112	134	98	111	140	138	P349	10	14	4111	13	27	4196	0	210	47082	32	7936	3	41	7884	3	459	134428	-52	6.333333333	9	0.760464066	0.229823665	0.302215023	3.826225294	36.33333333	145	801	10	328	2019	64	183	1218	20	61	42	2453		54	561.6	452.77	-108.83
AA1DCD664D	oscar_3	7		113	133	112	134	98	111	140	138	P350	0	7	2773	1	2	1540	2	21	15946	9	4973	1	39	12803	0	431	163083	7830	21.33333333	30	-0.599161346	0.30842673	-0.514764064	9.066176457	38	1	2	3	62	339	13	61	337	24	102	9	2897		33	411.23	424.33	13.1
AA1DCD665C	oscar_3	4		114	134	113	135	99	112	141	139	P351	1	2	1336	7	12	7207	1	32	23453	10	6754	0	27	14591	0	247	141131	7837	12.33333333	17	-0.540047198	-0.367559626	0.680606487	6.173779681	23.66666667	12	47	4	32	144	5	20	97	16	74	8	2641		51	576.2	497.13	-79.07
AA1DCD6637	mork_3	4		113	133	112	134	98	111	140	138	P352	0	4	2232	1	0	743	2	18	13829	1	1318	0	0	759	0	4	12766	-559	-0.333333333	-1	-1.072074534	-1.483723145	1.383973874	0.573488351	0	0	0	1	0	0	0	0	0	0	9	7	689		30	703.03	612.13	-90.9
AA1DCD6648	oscar_3	5		113	133	112	134	98	111	140	138	P355	2	2	1192	2	30	10157	1	64	25219	49	9791	7	37	9327	0	496	145559	-464	-4.333333333	-12	1.765404589	0.119779375	0.067848116	8.902933349	34	32	153	9	62	347	4	30	194	17	28	6	2216		23	673.03	506.77	-166.26
AA1DCD6634	mork_2	7		113	133	112	134	98	111	140	138	P357	9	2	1660	3	50	448	1482	429	11786	35	7084	22	47	6946	96	683	109501	-138	7	12	0.937806512	0.764324505	0.815013007	5.277204647	47.66666667	118	709	200	219	1254	284	101	545	33	111	41	2499		52	561.1	653.2	92.1
AA1DCD6646	mork_2	9		113	133	112	134	98	111	140	138	P358	0	1	1369	7	1	875	1	6	8675	0	2188	1	7	3950	3	59	46988	1762	6.333333333	7	-1.131188682	-1.185031499	1.047598441	3.043389923	6.333333333	1	1	1	9	25	15	8	24	7	36	36	1852		8	580.3	646.67	66.37
AA1DCD6667	mork_2	11		113	133	112	134	98	111	140	138	P359	5	6	1348	1	31	3733	0	184	38788	30	9830	2	46	14305	1	626	184749	4475	9	16	0.64223577	0.701442053	1.092187771	5.272149045	46.33333333	32	156	13	118	657	55	86	501	31	91	12	2118		28	890.73	498.87	-391.86
AA1DCD666F	mork_2	4		113	133	112	134	98	111	140	138	P361	4	3	950	6	24	5911	0	93	30559	13	4744	1	7	3119	0	186	58225	-1625	-6.666666667	-6	-0.362704753	-0.949222305	2.617066078	6.194621323	11.33333333	20	84	7	0	0	0	-20	-84	4	38	4	1473		31	757.33	886.8	129.47
AA1DCD6653	mork_2	12		113	133	112	134	98	111	140	138	P362	10	16	4721	8	31	4679	7	296	63546	30	17546	10	46	17856	6	607	264553	310	4.333333333	16	0.64223577	0.418471021	0.65158473	5.277204647	40.33333333	25	123	16	62	330	69	37	207	28	91	28	3644		27	513.2	590.2	77
AA1DCD668C	mork_2	10		112	132	111	133	97	110	139	137	P364	10	23	5461	26	31	6801	2	260	65367	87	6386	14	50	14226	13	1050	130684	7840	-71	-37	4.011742228	0.449912246	0.112148842	40.7512781	41	95	464	14	328	1901	43	233	1437	36	35	31	2117		44	486.2		
AA1DCD6689	mork_3	16		112	132	111	133	97	110	139	137	P365	0	2	2086	0	2	1718	5	11	16259	5	4138	8	11	6026	0	129	66613	1888	6	6	-0.83561794	-0.949222305	1.13595252	4.144072071	11.33333333	2	5	3	20	69	10	18	64	0	43	4	1369		2	383.83	457.07	73.24
