rfid	sha_mean_delta_esc_08_10	sha_mean_08_10	sha_mean_inactive_08_10	sha_mean_to_08_10	sha_loading_phase_intake_08_10	sha_titration_phase_08_10	sha_iti_median_08_10	sha_behavior_stability_08_10	sha_behavior_stability_08_10_na	sha_mean_01_03	sha_mean_inactive_01_03	sha_mean_to_01_03	sha_loading_phase_intake_01_03	sha_titration_phase_01_03	sha_behavior_stability_01_03	lga_mean_delta_esc_12_14	lga_mean_12_14	lga_mean_inactive_12_14	lga_mean_to_12_14	lga_loading_phase_intake_12_14	lga_titration_phase_12_14	lga_iti_median_12_14	lga_behavior_stability_12_14	lga_behavior_stability_12_14_na	pr_01_sha	pr_02_lga	pr_03_postshock	pr_01_sha_breakpoint	pr_02_lga_breakpoint	pr_03_postshock_breakpoint	pr_max_02_03	pr_max_02_03_breakpoint	sha_08_age	lga_12_age	pr_03_age	sha_coefficient_of_variation	sha_coefficient_of_variation_2	lga_coefficient_of_variation	addiction_index_no_sex_z	add_index_sexcohort_z	add_ind_calc_no_z_shock_03	addiction_index_no_sex_z_shock_03_avg1h	add_index_palmer_shock_03_avg1h	add_ind_calc_no_z_shock_03_avg1h	add_ind_olivier
933000120124701	0.212250559	17.66666667	2	15.5	0	24	152	708.4961883	708.4961883	1.333333333	1	0.666666667	0	2	0	0.465485733	143	0.666666667	4.333333333	25	66	148.5	72.70054607	72.70054607	10	13	11	40	77	50	13	77	87	108	117	2.421933187	0	0.4818276	1.109035499	0.873912665	1.623639913	-0.16299861	-0.16299861	-0.060136498	0.675752235
933000120138286	-0.908162885	1.666666667	1.666666667	1	1	0.333333333	600	173.2050808	86.60254038	0.333333333	2	0.333333333				-0.946458323	85.66666667	1.333333333	291.6666667	0.333333333	24.66666667	140	182.3937417	182.3937417	0	0	11	1	1	50	11	50	60	81	94	0.314918329		0.839238633	-0.536625662	-0.900369623	-0.253837963				-0.905675916
933000120138579	-0.010538069	14.33333333	2.666666667	7	6	19	495.5	154.1867293	154.1867293	7.333333333	25.66666667	1.666666667	3	12	622.3709603	-0.6663368	83.33333333	9	32.33333333	8	19	59	440.1563673	440.1563673	15	16	13	118	145	77	16	145	89	111	122	0.302593915	0.687382913	1.733506964	0.187691333	-0.110814132	-0.253837963	-0.820287931	-0.820287931	-0.240856641	-0.439789828
933000120138674	-0.895754022	0.666666667	3.333333333	0	0	1	3516	0	0	1	0.666666667	0.333333333	0	2	0	-1.988772499	9.333333333	27	0.666666667	0	12	383	2125.651371	2125.651371	1	2	16	2	4	145	16	145	68	89	98	0	0	2.154434617	-0.146594247	-0.525034263	0.371987996		-1.49152855		-0.313212393
933000120138607	0.474365307	20.66666667	0.666666667	2.333333333	6	32	303	162.3756643	162.3756643	5.666666667	3.666666667	3.333333333	3	9	871.3955731	-1.289272712	26.33333333	184.3333333	1.333333333	3	21	320.5	1132.972922	1132.972922	9	0	2	32	0	4	2	4	89	110	122	0.481318539	0.866690681	1.520097839	-0.81871224	-1.301656093	-0.253837963	3.261821919	2.578990041	0.708435579	-1.316245551
933000120138437	-0.519892182	0.666666667	1.333333333	0	0.333333333	0.333333333	600		0	2	4	0				0.511435849	83	11	9	4	14	266.6666667	140.8787143	140.8787143	2	10	11	4	40	50	11	50	78	99	111			0.461021687	-0.08169229	0.089763761	-0.879663921		0.966052851		0.291470275
933000320046379	0.169897471	13	6	7.333333333	7	13	453	457.2085078	457.2085078	8.333333333	8.333333333	6.666666667	1	11	738.6045657	-0.219473222	68.33333333	1.333333333	9.666666667	10	24	239	192.5719916	192.5719916	3	9	12	6	32	62	12	62	76	98	110	0.882878629	1.138943047	0.678165276	0.029895913	-0.00219463	-0.149533636	0.457209045	0.150577283	-0.079742929	-0.122934915
933000320046920	-0.965351191	1.333333333	0.333333333	0	1	1	1953	1353.296962	1353.296962	0	1.666666667	0	0	0		-1.573194138	2.666666667	3	0	2	4	80	9290.737116	7554.215921	0	0	1	0	0	1	1	1	77	100	111	0.761134399		1.221147856	-1.367472197	-1.240338658	-0.983968247				-1.082271561
933000320047335	0.847666321	29	5.666666667	19.66666667	5	46	163	226.0444776	226.0444776	1	1.333333333	0	0	1	1996.5	0.796282378	129.6666667	1	4.666666667	25	48	141	227.2284732	227.2284732	9	9	9	32	32	32	9	32	78	99	108	0.920617509	0.990081825	1.458191034	1.156262759	0.913596677	1.832248566	0.066085716	-0.246330309	-0.084031835	0.779336188
933000320047936	0.247499617	29	6.333333333	5	16	36	246	111.1466742	111.1466742	26.33333333	34.33333333	11.66666667	8	34	225.7476724	0.731980567	115.3333333	7	2.333333333	26	55	186	66.6438651	66.6438651	9	11	12	32	50	62	12	62	96	118	130	0.451182556	0.814857426	0.354741701	0.03213555	-0.098482803	-0.983968247	-0.699631775	-0.694176729	-0.303943735	-0.373947937
