rfid	colorado_rat_number	femur_length_mm	maximum_force_n	yield_force_n	final_force_n	maximum_moment_nmm	yield_moment_nmm	final_moment_nmm	stiffness_n_mm2	x18_norm_stiffness_n_mm2	elastic_work_nmm	elastic_displacement_mm	post_yield_work_nmm	post_yield_displacement_mm	total_work_nmm	total_displacement_mm	iml_mm4	zml_mm3	cortical_thickness_mm	tissue_strength_m_pa	tissue_modulus_g_pa	correction_factor	corrected_modulus_g_pa	tt_ar_mm2	m_ar_mm2	ct_ms_mm2	ct_ar_mm2	ct_ar_tt_ar_percent	ps_pm_mm	ec_pm_mm	ps_pmest_mm	ec_pmest_mm	po_ar_mm2	ct_po_percent	ct_th_mm	j_mm4	imax_mm4	imin_mm4	zmax_mm3	zmin_mm3	dmax_mm	dmin_mm	ct_app_d_mg_ha_cm3	ct_tiss_d_mg_ha_cm3	ct_th_sd_mm	bv_tv_percent	tb_th_μm	tb_n_1_mm	tb_sp_μm	conn_d_number_mm3	app_d_mg_ha_cm3	tiss_d_mg_ha_cm3	tv_mm3	bv_mm3	smi	bs_mm2	bs_bv_mm2_mm3	bs_tv_mm2_mm3	bs_mv_mm2_mm3	da	tb_th_sd_μm	center	batchnumber	age
00077EAAC5	243	36.08	134.3	108.09	134.3	604.35	486.405	604.35	328.7806882	328.7806882	68.86817	0.461	48.26847	0.389	117.13664	0.85	3.50731	2.35208	0.627	256.9427911	11.38959876	0.715627426	15.91554257	8.08056	3.03063	5.04993	5.04934	0.624875009	10.04864737	5.965234931	10.07687014	6.171225144	0.00059	0.000116833	627	8.60315	5.09584	3.50731	2.74762	2.35208	3.709275664	2.982305024	1334.832531	1350.218973	0.0655	0.367	121.1	4.6484	159.6	79.0792	461.8110188	951.3320004	12.3863	4.5453	0.5971	105.187	23.1836	8.492205098	13.41499809	1.641	49.5	NY	Batch02	208
00077EABD0	244	36.21	140.52	114.38	140.24	632.34	514.71	631.08	381.3167222	381.3167222	20.948625	0.38	65.153695	0.49	86.10232	0.87	3.71049	2.48191	0.622	254.7795851	12.48621658	0.277232118	45.03885284	8.2288	3.16607	5.06273	5.06266	0.61523673	10.11153299	6.086260085	10.16888148	6.30761516	7.00E-05	1.38E-05	622	8.81011	5.09961	3.71049	2.78524	2.48191	3.66188192	2.990027841	1353.139028	1368.600344	0.0491	0.3339	83.1	4.4315	686.7	86.4381	433.8458786	938.828176	13.7787	4.6013	0.6227	113.8382	24.8253	8.261896986	12.40418855	1.4906	23.5	NY	Batch02	217
00077EAC34	245	40.21	203.32	202.33	202.95	1016.6	1011.65	1014.75	326.0329185	447.2330844	76.759845	0.72	18.27318	0.09	95.033025	0.81	6.36462	4.00565	0.759	253.7915195	6.223937894	0.26473482	23.51008415	11.47812	4.09242	7.3857	7.38455	0.643358843	12.12980541	7.195657333	12.00992547	7.17125278	0.00115	0.000155706	759	18.19813	11.83351	6.36462	5.13736	4.00565	4.606844761	3.177821327	1324.911832	1338.314135	0.0864	0.2956	83.6	2.7759	671.7	52.9659	393.0399846	958.108025	17.1242	5.0615	0.7985	114.888	22.8078	6.709101739	9.524235868	1.9038	28.7	NY	Batch02	207
00077EA3AA	247	34.5	105.38	96.62	97.64	474.21	434.79	439.38	292.8930577	292.8930577	19.495255	0.401	44.172245	0.43	63.6675	0.831	4.34646	2.86393	0.606	165.5801643	8.187469001	0.263697402	31.04872837	8.96181	3.67682	5.28499	5.28498	0.589722389	10.56834362	6.776815377	10.61213578	6.797373228	1.00E-05	1.89E-06	606	10.21397	5.86751	4.34646	3.04609	2.86393	3.852486302	3.035311617	1334.3568	1350.0773	0.0524	0.462	121.1	5.4261	159.6	100.1828	530.6033	909.9047	13.4953	6.2353	-0.341	123.3345	19.6606	9.139070639	16.98822314	1.5187	49.5	NY	Batch02	221
00077EAB94	248	40.58	168.37	142.26	166.4	841.85	711.3	832	382.3749081	524.5197641	32.029765	0.449	88.03774	0.551	120.067505	1	5.81896	3.64215	0.633	231.140947	7.98399565	0.236017316	33.82800796	10.87765	4.69003	6.18762	6.18323	0.568434359	11.809909	7.647118301	11.69156026	7.677021243	0.00439	0.000709481	633	15.00675	9.18778	5.81896	4.25499	3.64215	4.318590643	3.19534341	1303.984772	1321.392791	0.0567	0.096	83.1	1.5272	686.7	19.3513	191.4438936	957.920842	19.5336	1.8754	2.2317	57.6669	32.0609	2.952190072	3.265729236	1.5443	23.5	NY	Batch02	218
00077EAE8C	249	37.64	129.77	126.19	129.77	583.965	567.855	583.965	328.7008873	328.7008873	30.557705	0.509	41.65511	0.33	72.212815	0.839	3.16158	2.36732	0.643	246.6776777	12.63202507	0.36487722	34.61993339	8.24012	2.90721	5.33291	5.33285	0.647181109	10.42327755	6.085090198	10.17587352	6.044259948	6.00E-05	1.13E-05	643	9.46146	6.29988	3.16158	3.09783	2.36732	4.06728581	2.671020394	1325.585691	1340.67264	0.0663	0.0934	83.6	1.5245	671.7	18.7729	203.3487324	942.571836	12.6246	1.1788	2.4914	36.8878	33.1301	2.921898516	3.222824093	1.4152	28.7	NY	Batch02	209
00077EA12E	250	37.69	157.39	144.2	157.39	708.255	648.9	708.255	380.1816248	380.1816248	33.34627	0.47	35.11658	0.23	68.46285	0.7	4.47508	2.93734	0.655	241.1212185	10.32206517	0.271722907	37.98746781	9.44615	3.65539	5.79076	5.79045	0.612995771	10.94010531	6.646007021	10.89512835	6.777535354	0.00031	5.35E-05	655	11.85945	7.38438	4.47508	3.58414	2.93734	4.120586807	3.047028945	1310.985417	1325.660564	0.064	0.0562	74.4	1.6203	679.9	9.3288	139.42	951.582	15.7041	0.882	2.5925	30.1104	36.5673	1.917359161	2.031453033	1.5516	23	NY	Batch02	206
00077EA3B2	251	35.69	167.88	136.31	139.17	755.46	613.395	626.265	447.7999339	447.7999339	26.376295	0.42	81.47821	0.52	107.854505	0.94	2.61857	1.94785	0.581	387.8430064	20.77763511	0.342846867	60.60325202	6.93851	2.59655	4.34196	4.34196	0.625777004	9.328804974	5.534768593	9.337659673	5.712198318	0	0	581	6.31224	3.69367	2.61857	2.18137	1.94785	3.386559822	2.68867726	1346.437877	1363.733586	0.054	0.3844	102.9	4.9049	185.8	90.7819	478.7697986	947.81296	9.655	3.7116	0.4744	84.8083	22.9206	8.783873641	14.26932396	1.4907	33.1	NY	Batch02	207
00077E6593	252	34.35	131.96	117.36	131.72	593.82	528.12	592.74	312.7496077	312.7496077	28.215175	0.54	45.052135	0.36	73.26731	0.9	3.26552	2.26433	0.644	262.2497604	11.63645525	0.307125886	37.88822691	8.06317	2.88223	5.18094	5.18087	0.642535132	10.12467034	5.884679933	10.06602119	6.018236484	7.00E-05	1.35E-05	644	8.85707	5.59155	3.26552	2.98385	2.26433	3.747876066	2.884314565	1322.328706	1338.351571	0.0835	0.4303	102.9	4.1409	185.8	57.5347	508.4195858	961.7393752	10.5502	4.54	-0.2753	78.9869	17.3807	7.486768023	13.14214169	1.5664	33.1	NY	Batch02	206
00077EA986	253	34.45	123.21	121.98	122.8	554.445	548.91	552.6	251.8902775	251.8902775	40.76563	0.729	76.45212	1.134	117.21775	1.863	2.6117	2.01375	0.698	275.3296089	11.71829411	0.39441718	29.71040491	7.14875	2.04236	5.10639	5.10637	0.7143025	9.632582115	4.916686646	9.478071636	5.066068761	2.00E-05	3.92E-06	698	7.30987	4.69817	2.6117	2.57385	2.01375	3.650694485	2.593867163	1353.176465	1367.589556	0.0798	0.4007	89	5.4536	348.8	120.6418	498.3491404	931.715222	7.6715	3.0741	0.673	75.4497	24.7047	9.83506485	16.4113847	1.516	27	NY	Batch02	211
