rfid	sha_04_age	death_comment	add_ind_sexcohort	add_ind_no_sex	add_ind_no_sexcohort	sha_mean_01_02	sha_mean_03_04	sha_mean_inactive_01_02	sha_mean_inactive_03_04	sha_mean_to_01_02	sha_mean_to_03_04	sha_iti_coefficient_of_variation_03_04	sha_iti_coefficient_of_variation_01_02	sha_iti_median_03_04	sha_loading_phase_intake_01_02	sha_loading_phase_intake_03_04	sha_titration_phase_01_02	sha_titration_phase_03_04	lga_mean_delta_esc	lga_mean_01_02	lga_mean_inactive_01_02	lga_mean_active_01_02	lga_mean_to_01_02	lga_iti_coefficient_of_variation_01_02	lga_iti_median_01_02	lga_loading_phase_intake_01_02	lga_titration_phase_01_02	lga_mean_active_12_14	lga_iti_coefficient_of_variation_12_14	tail_immersion_analgesia	tail_immersion_tolerance	tail_immersion_baseline	tail_immersion_oxypresa	tail_immersion_oxypostsa	von_frey_force_bsl	von_frey_force_difference	von_frey_force_percent	von_frey_force_withdrawal	von_frey_time_bsl	von_frey_time_difference	von_frey_time_percent	von_frey_time_withdrawal	treatments_pr_vehicle	treatments_pr_buprenorphine	treatments_pr_methadone	treatments_pr_naltrexone	pr_saline_active	pr_saline_breakpoint	pr_saline_inactive	pr_saline_rewards	pr_buprenorphine_active	pr_buprenorphine_breakpoint	pr_buprenorphine_inactive	pr_buprenorphine_rewards	pr_methadone_active	pr_methadone_breakpoint	pr_methadone_inactive	pr_methadone_rewards	pr_naltrexone_active	pr_naltrexone_breakpoint	pr_naltrexone_inactive	pr_naltrexone_rewards	sha_iti_mode_03_04	sha_iti_numburst_03_04	sha_iti_maxburst_03_04	sha_iti_meannumrewards_03_04	sha_iti_pctrewards_03_04	sha_iti_mode_01_02	sha_iti_numburst_01_02	sha_iti_maxburst_01_02	sha_iti_meannumrewards_01_02	sha_iti_pctrewards_01_02	lga_iti_mode_12_14	lga_iti_numburst_12_14	lga_iti_maxburst_12_14	lga_iti_meannumrewards_12_14	lga_iti_pctrewards_12_14	lga_iti_mode_01_02	lga_iti_numburst_01_02	lga_iti_maxburst_01_02	lga_iti_meannumrewards_01_02	lga_iti_pctrewards_01_02
933000120138681	83		-0.133138534	-0.016104547	-0.479726998	4	3.5	2	0	2	2	1.15520393	0.668128563	600	3	3	3	3	0.548256231	30	9.5	37	7	1.153780281	631	1	47	389.6666667	1.279656002	0.69	-3.26	3.56	4.25	7.51	23.43333333	-1.15	-4.907539118	24.58333333	11.61666667	-0.6	-5.164992826	12.21666667	-26.66666667	73.33333333	46.66666667	-73.33333333	41	6	4	11			14	26			6	22	10	3	0	4	320	1	1	1	50	387.5	0.5	1	1	20	528	23.33333333	3.666666667	2.46	56	2714.5	4.5	2	2	24.5
933000120138443	73		-0.15652354	-0.102671506	-0.504254247	1	3.5	4	7.5	0	0.5	0.425193775	0	2357		2	1	3	-0.760845382	22	21	27	5	1.182367154	1706	3	23	44.33333333	0.476000034	-0.85	-1.11	6.22	5.37	6.48	13.65	0.6	4.395604396	13.05	6.666666667	0.283333333	4.25	6.383333333	-53.84615385	138.4615385	7.692307692	-38.46153846	19	4	6	6			14	31			14	14			12	8	1635.5	0	0	0	0		0	0	0		714.3333333	2.666666667	2	2	14.33333333	592	3.5	2	2	31.5
933000120138699	83	"2018-09-12_Died, after progressive ratio session 4/treatment 2 (was in Naltrexone group)"	0.951566333	1.201191683	0.621918118	6.5	9.5	4	2	2	0.5	0.805827558	0.762919865	508	1	4	5	6	1.890924552	57	16.5	74	17	1.052994977	566	6	68	239.6666667		0.56	1.19	3.53	4.09	2.9	18.18333333	6.3	34.64711274	11.88333333	8.983333333	3.2	35.62152134	5.783333333	60			-60			0	16									9	3	0	4	383	1	2	2	21	473.5	1	2	2	31		38.66666667	3.333333333	2.206666667		27	14.5	3	2.185	55.5
933000120138613	83		-0.412682295	-0.248764023	-0.473364465	3.5	4.5	7.5	13	3.5	3	0.425283135	0.852288601	1494	2	1	2	4	-0.478885034	39.5	10	48	8.5	0.797408243	1072	2	52	54	1.057482551	2.13	-2.9	2.72	4.85	7.75	22.13333333	8.933333333	40.36144578	13.2	10.98333333	4.533333333	41.27465857	6.45	450	700	300	0	41	6	2	11			16	16	29	5	1	8	3	2	0	2	1664	0	0	0	0	423	0.5	1	1	25	591.6666667	9.333333333	2.333333333	2.046666667	38.33333333	1221	5.5	2.5	2.055	27
933000120138610	83		0.701435787	0.829840627	0.378585412	0.5	1	0.5	0	0	0	0		537		2			-0.79441209	25	5	30	5	1.428400553	430.5		28	37.66666667	0.779118069	-1.16	0.42	4.94	3.78	3.36	24.18333333	14.21666667	58.78704342	9.966666667	11.6	6.783333333	58.47701149	4.816666667	-18.75	-100	37.5	-43.75			0	13	0	0	0	0			6	22	34	5	1	9		0	0	0			0	0	0		1616	3.333333333	2	2	17	181	4.5	2.5	2.145	36.5
933000120138422	80	"2018-09-05_Died, during recatheter surgery"	0.375938721	0.539593139	0.060996051	10	5	3	6.5	7	2.5	0.421400154	0.901454968	907	5	1	10	6	0.514689523	121.5	6	503	381.5	2.767172153	36	7	127	139.6666667	1.017542498	2.44	-1.47	1.88	4.32	5.79	20.78333333	6.383333333	30.71371291	14.4	10.3	3.316666667	32.20064725	6.983333333	-64.28571429	0	64.28571429	-85.71428571	13	3	0	5	67	8	9	14			11	23	2	1	0	2	1016.5	0	0	0	0	158	1.5	2	2	29	37	28.66666667	3.333333333	2.2	64	21.5	32.5	6	3.26	87.5
933000120138429	82		0.01301582	0.146742031	-0.397971212	0.5	2.5	2	4.5	0	0	1.352847616		29			1	2	1.186023684	62	39.5	69.5	7.5	0.936242845	576	11	69	157.3333333	1.443491329	0.96	-4.33	3.13	4.09	8.42	10.81666667	-2.216666667	-20.49306626	13.03333333	5.25	-1.116666667	-21.26984127	6.366666667	-20	-15	75	-90			8	16	94	9	4	17			16	35	2	1	2	2		0.5	1.5	1.5	37.5		0	0	0		28.33333333	38.33333333	4	2.336666667	67.33333333	112.5	6	3	2.185	20.5
933000120138408	81		-0.129032981	-0.036953619	-0.426355921	4.5	3	0	0	2	0	0.769362425	0.744607887	952		1	5	4	-0.391611594	44	5	50.5	6.5	1.573194131	436.5		35	56.33333333	1.068111896	1.62	-1.46	2.72	4.34	5.8	16.2	2.066666667	12.75720165	14.13333333	7.983333333	1.066666667	13.3611691	6.916666667	27.27272727	27.27272727	72.72727273	-36.36363636			2	14	61	8	1	14			7	19	20	4	1	7	1625	0	0	0	0	86.5	0.5	1	1	33.5	391	8	2.666666667	2.223333333	32.66666667	1114	7.5	3	2.25	37
933000120138710	78		-0.932042366	-0.939959597	-1.300227065	3.5	2.5	6	1	2	0.5	0.79457746	0.772982165	1553		1	3	3	-0.693711966	31	9	35	4	1.734261827	77.5	4	45	39.66666667	0.908741286	1.34	-3.29	3.16	4.5	7.79	11.23333333	-10.63333333	-94.65875371	21.86666667	5.466666667	-5.25	-96.03658537	10.71666667	-25	-91.66666667	-50	-66.66666667			1	9	1	1	0	1	13	4	0	6	9	3	1	4	826	0.5	1	1	50	1654	0.5	1	1	33.5	2376.333333	4.333333333	2.333333333	2.046666667	22.33333333	50	9	3.5	2.61	76
933000120138729	78		-0.584352206	-0.492128707	-0.783724868	3	0.5	7	1	3.5	0		0.670506352		3	1			-0.277484786	32.5	18	52	19.5	1.229318327	102		52	78	2.412346815	1.13	-0.41	3.72	4.85	5.26	17.33333333				8.55										12	9	4	2	2	3	0	0	0	0	5	2	11	3		0	0	0		686	0.5	1	1	25	5305	16	3.333333333	2.266666667	54	1924.5	9.5	3	2.345	63
