rfid	locomotor2	progressiveratio	punishment	runstartmale1	runstartfemale1	runreversalsmale	runreversalsfemale	highcocaineavoid2	runstart1	runreversals	regressedlr_highcocaineavoid2	regressedlr_highcocaineavoidfemale2	regressedlr_highcocaineavoidmale2	regressedlr_locomotor2	regressedlr_progressiveratio	regressedlr_punishmenteffortratio	regressedlr_runreversals	regressedlr_runreversalsfemale	regressedlr_runreversalsmale	regressedlr_runstart1	regressedlr_runstartfemale1	regressedlr_runstartmale1	punishmenteffortratio	highcocaineavoidmale2	highcocaineavoidfemale2
933000120138481	20.63333333	88	0.490464345	32.80714286		2.857142857		1	32.80714286	2.857142857	0.403846154		0.394871795	1.211551866	-0.257307522	-1.495756109	0.596890914		0.699432077	-0.46196206		0.078726029	0.005573458	1	
933000120138491	12	125.75	0.561728395		37.15571429		0	0	37.15571429	0	-0.392703863	-0.501898309		-0.896782989	0.89897789	-1.109583682	-2.352430311	-2.386985425		-0.248253704	-0.185770782		0.004467025		0
933000120138492	11.96666667	107.75	0.514917695											-0.905245003	0.444706541	-1.74809522							0.004778819		
933000120138495	26.33333333	115.5	0.748971193		32.37571429		0.571428571	0	32.37571429	0.571428571	-0.392703863	-0.505438847		1.458386048	0.63808743	-0.564048068	-1.453909816	-1.3074602		-0.489358918	-0.358125077		0.006484599		0
933000120138487	22.33333333	103	0.773424544	49.45857143		0.857142857		0	49.45857143	0.857142857	-0.596153846		-0.605128205	0.885229136	0.326210524	-0.930119519	-0.989601036		-0.685904409	0.177591724		-0.030078432	0.007508976	0	
933000120138485	28.4	151	0.819187243		38.03		0.714285714	0	38.03	0.714285714	-0.392703863	-0.501898309		1.669143303	1.421891567	-0.853474846	-1.218326184	-1.142817293		-0.210778778	-0.138858287		0.005425081		0
933000120138486	20.66666667	89.5	0.477469136	33.77571429		5.714285714		1	33.77571429	5.714285714	0.403846154		0.394871795	0.640780593	-0.207012601	-1.587488698	1.417396442		1.661473648	-0.401469532		-0.716455546	0.005334851	1	
933000120138505	22.63333333	88	0.509328358		109.4216667		1	1	109.4216667	1	0.607296137	0.498101691		0.927970656	-0.257307613	-0.767944725	-0.809999126	-0.724140739		1.122755068	1.073136262		0.005787822		1
933000120138484	28.33333333	46.75	0.679104478	41.50857143		3.285714286		1	41.50857143	3.285714286	0.403846154		0.394871795	2.121750999	-3	0.520202181	0.780978444		0.919089455	-0.049469808		0.339594659	0.014526299	1	
933000120138499	7.166666667	108.75	0.468106996		51.99571429		5.428571429	1	51.99571429	5.428571429	0.607296137	0.494561153		-2.081730245	0.485953025	-1.160809746	1.361474698	1.396305074		0.259330566	0.30518762		0.004304432		1
933000120138483	25.56666667	76.75	0.702160494											1.360425893	-0.809935871	-0.510080778							0.009148671		
933000120138498	12.7	138.25	0.397890947											-0.769155183	1.129577709	-1.627515195							0.002878054		
933000120138501	36.9	142.25	0.943200663											2.460710904	1.256529511	-1.17975557							0.006630585		
933000120138482	20.76666667	77.75	0.514917695											0.664877775	-0.759510663	-0.54024872							0.006622736		
933000120138493	18.53333333	103	0.842592593											0.318639385	0.323965285	-0.758216339							0.008180511		
933000120138497	19.5	74.25	0.792288557											0.463855666	-0.968229412	0.309602045							0.010670553		
933000120138529	20.83333333	72.25	0.641376451	28.29333333		0.571428571		0	28.29333333	0.571428571	-0.596153846		-0.605128205	1.235105894	0.517798736	-0.560841994	-1.184556502		-0.957742754	-0.699176221		-0.055116807	0.008877183	0	
933000120138509	16.36666667	78.75	0.702160494	40.67714286		0		0	40.67714286	0	-0.596153846		-0.605128205	-0.050068228	0.680517696	-0.556758069	-2.01659431		-2.319077704	-0.0942987		-0.364748362	0.008916324	0	
933000120138530	14.36666667	101.25	0.702160494		30.81571429		1.142857143	0	30.81571429	1.142857143	-0.392703863	-0.434628087		0.255106802	1.155005039	-0.432756203	-0.297146137	-0.226605281		-0.603739599	-0.47247693		0.006934918		0
933000120138528	15.3	90.75	0.655349794		28.74142857		0.571428571	0	28.74142857	0.571428571	-0.392703863	-0.434628087		-0.263917272	0.931216244	-0.364765374	-0.947537025	-0.89696375		-0.683683306	-0.543934665		0.007221485		0
933000120138435	22.36666667	52.25	0.905472637	25.74571429		3.857142857		1	25.74571429	3.857142857	0.403846154		0.394871795	0.892606356	-0.159260379	0.866947398	1.023940313		1.122423921	-0.937861397		-1.360839554	0.01732962	1	
933000120138453	21.03333333	28	0.678755144	62.88142857		0.857142857		0	62.88142857	0.857142857	-0.596153846		-0.605128205	0.720336993	-1.530919385	1.630071367	-0.742789694		0.054333514	0.493319808		0.377253153	0.024241255	0	
933000120138431	10.73333333	225	0.865997942		49.97333333		0.285714286	0	49.97333333	0.285714286	-0.392703863	-0.459411853		-1.202203401	2.827537286	-1.294664243	-1.560030418	-1.471160348		0.191901464	0.238828171		0.00384888		0
933000120138446	21.66666667	54.75	0.999792703		31.81571429		0.857142857	0	31.81571429	0.857142857	-0.392703863	-0.452330777		0.814293251	-0.073492348	1.270492489	-0.702146429	-0.643398393		-0.553195397	-0.420361886		0.018261054		0
933000120138516	17.4	77.75	0.603648425	34.57		0.285714286		0	34.57	0.285714286	-0.596153846		4.44E-16	0.750672514	0.659157415	-0.862617809	-2.149343891		-1.704111721	-0.36586498		0.189046507	0.007763967	0	
933000120138517	14.4	124.25	0.678755144	57.83571429		1.142857143		0	57.83571429	1.142857143	-0.596153846		4.44E-16	-0.452627704	1.567096165	-1.530661878	-0.846172429		-0.366919779	0.390233602		0.275336362	0.005462818	0	
933000120138521	28.53333333	63	0.468106996		98.10285714		1.428571429	1	98.10285714	1.428571429	0.607296137	0.455615235		1.687454648	0.258674059	-0.300003751	-0.541219141	-0.48649944		1.013671977	0.961058229		0.00743027		1
933000120138527	26.7	113.25	0.444701646											1.48102012	1.435193569	-1.256315975							0.003926725		
933000120138523				78.036		0.2		0	78.036	0.2	-0.596153846		4.44E-16				-2.329409961		-1.828263212	0.745650772		0.748438157		0	
