rfid	mass
0007A0008B	0.463825863
0007A00024	3.435062554
0007A000DB	0.395416485
0007A001C5	-1.282564912
0007A0059F	0.136295504
0007A00263	0.993435784
0007A00670	0.531057193
0007A00716	-0.96939936
0007A01A7C	-1.594688144
0007A06B58	-1.211481553
0007A06BBD	0.063153152
0007A06D20	-1.249470899
0007A011E3	1.62174565
0007A017AB	0.4837624
0007A022BB	-1.279192194
0007A027D6	0.765925925
0007A037D1	0.411525559
0007A0153B	-0.998312265
0007A0167B	1.223948744
0007A0419F	-0.12132197
0007A0423A	0.510648574
0007A0492D	0.934359497
0007A01406	0.515730493
0007A03699	-0.02153372
0007A04018	0.595453632
0007A2E4FC	-0.505579809
0007A2EBEC	1.7577417
0007A2FB1F	0.0111375
0007A3A1F9	-0.445711458
0007A3A3FA	0.009652451
0007A3A93D	-0.634930209
0007A3A171	-0.003712432
0007A3A346	-1.864840308
0007A3AA83	0.577815595
0007A3ACCC	0.718974879
0007A3AD7B	-0.517427424
0007A3B7B0	0.302277199
0007A3B51B	1.166324151
0007A3B78E	-0.289865114
0007A3B423	-0.361912978
0007A3BA7C	1.967109258
0007A3BC42	-0.497160563
0007A3BD9F	-0.239111716
0007A3BF09	1.00075943
0007A3BF19	-0.964658995
0007A3C18F	0.519125846
0007A3C29D	-0.724755735
0007A3C33B	-1.364553701
0007A3C506	1.317126551
0007A3C627	-0.109362858
0007A3C658	-1.303114878
0007A3CEF8	-0.408295324
0007A3CF5A	-2.616399347
0007A3D743	0.537909093
0007A3DA98	0.143793536
0007A3E12C	-1.262542747
0007A3EB93	1.50123868
0007A3F7BD	0.339803198
0007A3FA2B	-0.577815595
0007A3FB13	0.103389269
0007A3FE7D	-0.473770593
0007A3FF90	1.600006433
0007A36E3D	-0.385800332
0007A37A19	-0.21473196
0007A367A9	-0.49380274
0007A390C3	-0.310058346
0007A395D7	1.584184855
0007A3899E	-0.448993953
0007A3970D	1.140334621
0007A39567	2.069415545
0007D2B4FD	-2.592655576
0007D2B6CF	2.059401603
0007D2B8EE	2.592655576
0007D2B9AC	0.126755821
0007D2B9C2	-0.468792433
0007D2B36E	-0.644605039
0007D2B43A	0.702789836
0007D2B45D	-0.373409705
0007D2B63A	0.344039166
0007D2B307	-0.687107891
0007D2B430	-0.149131803
0007D2B799	-0.765980141
0007D2B823	-1.380778946
0007D2B854	0.073572302
0007D2B935	-1.79366097
0007D2BA02	-0.419126394
