rfid	op_id	soc_socialrs_sa	soc_socialavgti	soc_social_num_ti_1_5	soc_social_num_ti_4_5	soc_social_num_ti_7_5	soc_social_num_ti_10_5	soc_social_num_ti_13_5	soc_social_num_ti_16_5	soc_socialti_sa	soc_midconrs_sa	soc_midconavgti	soc_midcon_num_ti_1_5	soc_midcon_num_ti_4_5	soc_midcon_num_ti_7_5	soc_midcon_num_ti_10_5	soc_midcon_num_ti_13_5	soc_midcon_num_ti_16_5	soc_midconti_sa	soc_opconrs_sa	soc_opconavgti	soc_opcon_num_ti_1_5	soc_opcon_num_ti_4_5	soc_opcon_num_ti_7_5	soc_opcon_num_ti_10_5	soc_opcon_num_ti_13_5	soc_opcon_num_ti_16_5	soc_opconti_sa	soc_totalrs_sa	soc_avgtotalti	soc_total_num_ti_1_5	soc_total_num_ti_4_5	soc_total_num_ti_7_5	soc_total_num_ti_10_5	soc_total_num_ti_13_5	soc_total_num_ti_16_5	soc_totalti_sa	rt_trials_sa	rt_meanrt_sa	rt_devmedrt_sa	rt_falsealarm_sa	rt_peropfalsealarm_sa	rt_pinit_sa	rt_peropinit_sa	loco_sheet_id	loco_saact	loco_sadis	loco_sarear	loco_sacent	lr_lt_act_sa	lr_lt_inact_sa	lr_lt_tot_sa	lr_px_pre_act_sa	lr_px_pre_inact_sa	lr_px_pre_tot_sa	dd_pcd600	dd_pcd1200	dd_pcd1800	dd_pcd2400
CC1DCD17A6	R01	-0.333333333	651.5	4	5	5	7	6	7	0.537596025	-0.5	247.3548387	10	3	5	6	3	4	0.546325879	0.676356589	454.4137931	5	3	6	7	5	3	0.334847567	-0.332222222	457.4148936	19	11	16	20	14	14	0.491003149	-0.344444444	-0.104934988	0.295884302	-0.616666667	-0.544503768	-0.376310273	0.096399965	R01_R78	-0.458333333	-0.530647383	-0.76344086	-0.695102686	0.242616034	-0.579710145	0.191860465	0.427777778	-0.56	-0.413194444	6.01	12.01	18.01	24.01
CC1DCD1764	R02	-0.355855856	724.2	2	5	5	4	1	3	-0.413793103	-0.490196078	438.7619048	6	6	4	3		2	-0.509371672	-0.597701149	644.7777778	5	5	2	4	1	1	-0.506673468	-0.447916667	598.3728814	13	16	11	11	2	6	-0.461615884	0.11965812	0.143064773	0.28533016	-0.555555556	-0.634920635	-0.245454545	-0.428848929	R01_R78	-0.51	-0.561841375	-0.733333333	-0.697456493	0.262820513	-0.5	-0.158227848	-0.586538462	0.429824561	-0.502564103	6.01	12.01	18.01	24.01
CC1DCD1776	R03	-0.536231884	577.3157895	4	2	7	3	2	1	0.595717234	-0.568376068	739.4375	3	2	4	4	1	2	-0.48623415	-0.666666667	611.2	8	5	4	4	1	3	0.444080623	-0.476525822	634.6666667	15	9	15	11	4	6	0.318295739	-0.305128205	-0.080515735	-0.341128511	-0.666666667	-0.684422107	-0.326797386	-0.136331043	R01_R78	-0.569321534	-0.621641791	-0.735042735	-0.605934554	-0.572649573	-0.5	-0.548022599	-0.671717172	-0.547619048	-0.504065041	6.01	12.01	18.01	24.01
CC1DCD176C	R04	-0.533816425	865.0714286	5	6	6	5	5	1	-0.436015647	-0.614583333	655.88	8	5	4	2	4	2	-0.651513219	-0.494949495	586.0344828	8	5	4	5	3	4	0.493834882	-0.53307888	702.6097561	21	16	14	12	12	7	0.247642926	-0.43081761	-0.078162545	-0.40320089	-0.425925926	-0.705465647	-0.373563218	0.268935956	R01_R78	-0.423202614	-0.547153025	-0.671875	-0.695833333	-0.333333333	-0.537878788	-0.418238994	-0.472222222	-0.23015873	-0.341880342	6.01	12.01	18.01	24.01
CC1DCD1769	R05	-0.527777778	692.3684211	6	3	3	2	1	4	0.38326301	-0.576923077	275.8	7	4	4	2		3	-0.543981481	-0.546666667	467	3	4	3	2		2	0.563958917	-0.449275362	475.6415094	16	11	10	6	1	9	0.383220787	0.142361111	-0.148071005	0.149034229	-0.333333333	-0.373094726	0.192708333	-0.246036854	R01_R78	-0.400462963	-0.473527218	-0.640350877	-0.650757576	-0.361904762	-0.46031746	-0.398809524	-0.333333333	-0.433333333	-0.375	6.01	12.01	18.01	24.01
CC1DCD1762	R06	-0.536036036	748.6	4	2	5	2	7	4	0.313989795	-0.631944444	302.1904762	9	4	3	2	1	2	0.596772144	-0.604166667	346.8	5	5	4	1	3	2	-0.578563616	-0.519417476	484.8030303	18	11	12	5	11	8	0.314271943	-0.291666667	0.079184219	0.528264503	-0.733333333	-0.684487179	-0.183673469	-0.227166364	R01_R78	-0.365079365	-0.450342466	-0.712121212	-0.416418651	-0.41954023	-0.545454545	-0.473856209	-0.5	-0.333333333	-0.425925926	6.01	12.01	18.01	24.01
CC1DCD1792	R07	-0.731481481	948.4		5	2	2	1		-0.608066782	-0.606666667	679.2666667	2	4	1	5		2	-0.681689507	-0.558823529	661.4666667	3	6	2	3	1		-0.699497244	-0.653846154	739.875	5	15	5	10	2	2	-0.622808373	-0.146464646	0.214883284	-0.693053357	-0.62962963	-0.588614519	-0.24796748	-0.34672952	R01_R78	-0.366666667	-0.555126224	-0.695238095	-0.659966499	-0.616666667	-0.425925926	-0.46	-0.555555556	-0.320512821	-0.425925926	6.01	12.01	18.01	24.01
CC1DCD1750	R08	-0.5	1047	5	6	2	2	1		-0.665107353	-0.677777778	563	5	5	2	2			-0.742013616	-0.375	955.8333333	6	4	4	2	1	1	-0.625114394	-0.52991453	871.6458333	16	15	8	6	2	1	-0.564884147	-0.219298246	0.148210998	0.321593023	-0.69047619	-0.725256364	-0.351731602	-0.215330073	R01_R78	-0.361904762	-0.488752556	-0.75	-0.713787086	-0.529411765	-0.5	-0.5	-0.588235294	-0.433333333	-0.515625	6.01	12.01	18.01	24.01
CC1DCD1784	R09	-0.583333333	801.9444444	5	3	4	1	4	1	-0.583261158	-0.705882353	360.6153846	4	3	4	2			0.498824032	-0.731182796	769.1176471	5	2	2	3	4	1	0.511835424	-0.578651685	670.7916667	14	8	10	6	8	2	-0.475790433	-0.32183908	-0.068538011	-0.306604207	-0.708333333	-0.736815323	-0.245098039	-0.272494193	R01_R78	-0.349765258	-0.461722488	-0.722222222	-0.562237495	-0.356060606	-0.572916667	-0.4	-0.407407407	-0.736111111	-0.595238095	6.01	12.01	18.01	24.01
CC1DCD1781	R10	-0.552631579	543.2	9	8	6	2	2	3	-0.42542839	-0.6875	359.15	7	5	3	2	1	2	-0.678353932	-0.621212121	445.0454545	5	3	6	4	2	1	-0.516428193	-0.541111111	462.0833333	21	16	15	8	5	6	-0.334313365	-0.252873563	-0.096175229	-0.261511475	-0.71875	-0.760882811	-0.11299435	-0.364645941	R01_R78	-0.459821429	-0.471736597	-0.673611111	0.574230679	-0.369918699	-0.287878788	-0.352564103	-0.401960784	-0.435897436	-0.416666667	6.01	12.01	18.01	24.01
