rfid	coatcolor	cued_age	epm1_age	ext01_age	lga01_age	oft1_age	pr_age	prime_age	site	surgery_weight	tf1_age	lga_total_heroin_consumption	lga_total_heroin_consumption_bysex	lga_escalation_of_heroin_intake_12h	lga_escalation_of_heroin_intake_12h_bysex	lga_escalation_of_heroin_intake_1h	pr_breakpoints	pr_break_points_bysex	prime_active	prime_active_bysex	prime_extinction_before_priming_active	ext_burst	ext_burst_bysex	ext_day_6_active	ext_day_6_active_bysex	ext_de_escalation	cued_active	cued_active_bysex	epm_percent_open_1	epm_percent_open_2	epm_percent_closed_1	epm_percent_closed_2	oft_distance_1	oft_distance_2	oft_time_1	oft_time_2	tf_bl_1	tf_bl_2	tf_test_1	tf_test_2	fst_swim	fst_climb	fst_float	fst_dive	room_box
933000320046853	BROWNHOOD	123	77	117	91	77	112	116	italy	289	77	2300	-0.888305523	20	0.004833719	-20	4	-0.009796358	3	-0.274004848	4	1	-0.472009474	0	-0.82670176	0	0	-1.082075219	2.73	16.57333333	1	1	2525.222896	1488.878662	74.45	41.25	3.3	3.3	5.125	5.125	31	3	26	0	46_1
933000320047068	BLACKHOOD	123	77	117	91	77	112	116	italy	343	77	2160	-0.930803987	-106.6666667	-0.287249681	20	2	-0.389895047	6	-0.030537945	8	2	-0.249752586	0	-0.82670176	-1	8	-0.288041772	10.51	8.23	0.333333333	0.333333333	9205.05241	8320.097085	253.4	215.25	3.325	3.325	3.15	3.15	49	6	5	0	46_2
933000320047065	BLACK	123	77	117	91	77	112	116	italy	185	77	11460	0.720585173	-106.6666667	-0.359491961	80	2	-0.505105719	4	-0.497675369	0	0	-0.836487132	5	-0.34966744	5	3	-0.959604722	22.29333333	0	0	0	12036.09369	6347.646299	311.1	163.5	2.5	1.875	4.225	5.125	22	4	34	0	46_2
933000320047056	BROWN	121	75	115	89	75	110	114	italy	274	75	960	-1.295076535	60	0.097070582	6.666666667	0	-0.769993736	4	-0.192849214	1	0	-0.694266363	0	-0.82670176	-1	6	-0.486550134	31.40333333	14.89333333	1	1	1202.054421	1888.907935	34.25	53.55	2.65	2.65	4.45	4.45	50	8	2	0	46_4
933000320047064	BLACKHOOD	122	76	116	90	76	111	115	italy	162	76	8720	0.15050889	1453.333333	2.175969403	60	6	0.203686393	2	-0.648887619	3	3	-0.307892658	6	-0.209221305	-5	43	1.806566393	32.96	7.26	0.666666667	0.666666667	5775.524388	3440.344067	178.2	92.35	2.575	2.15	6.55	7.25	23	7	30	0	46_3
933000320047073	ALBINO	121	75	115	89	75	110	114	italy	193	75	3700	-0.893937439	466.6666667	0.572344267	-20	4	-0.150709663	5	-0.422069244	1	0	-0.836487132	1	-0.911451982	-16	3	-0.959604722	24.63666667	11.44	0.666666667	0.666666667	11131.49416	7648.044266	286.15	216.5	3.15	3.15	7.425	7.55	46	7	7	0	46_4
933000320047209	BLACK	119	74	113	87	74	108	112	italy	320	74	1720	-1.064370588	-326.6666667	-0.794552428	-13.33333333	0	-0.769993736	0	-0.517471752	2	0	-0.694266363	0	-0.82670176	0	1	-0.982821038	23.3	32.19666667	1.666666667	1.666666667	6192.051277	7098.292265	179.15	189.6	2.75	2.75	6.6	6.6	29	15	16	0	46_8
933000320047208	BLACKHOOD	117	73	111	85	73	106	110	italy	292	73	3460	-0.536175393	-113.3333333	-0.302622492	13.33333333	4	-0.009796358	4	-0.192849214	6	7	0.861531856	27	3.235459422	15	14	0.307483313	35.77333333	26.81	2.666666667	2.666666667	11304.15328	12805.71215	304.4	385.45	3.025	3.025	6.15	6.15	31	4	25	0	48_2
933000320047211	BROWNHOOD	117	73	111	85	73	106	110	italy	197	73	4540	-0.719169528	133.3333333	0.030579018	53.33333333	4	-0.150709663	6	-0.346463119	8	5	0.044503658	21	1.897470726	19	19	0.146863724	34.6	8.916666667	0.666666667	0.666666667	22477.8611	6009.20148	570.3	163.75	4.15	3.925	5.85	5.85	22	3	55	0	48_3
933000320047207	BLACK	116	72	110	84	72	105	109	italy	220	72	3180	-1.002127099	260	0.236449812	40	2	-0.505105719	4	-0.497675369	1	4	-0.1316945	8	0.071670966	4	9	-0.544679055	29.73	15.04333333	0.666666667	0.666666667	6648.539884	5171.730026	186.15	139.95	2.275	2.375	4.45	8.275	22	8	30	0	48_4
933000320047190	BLACK	116	72	110	84	72	105	109	italy	276	72	4500	-0.220472517	-240	-0.594705891	26.66666667	4	-0.009796358	1	-0.436316117	0	3	-0.027495698	15	1.430054452	14	26	1.498533483	25.64333333	8.073333333	0.666666667	0.666666667	9807.017645	8203.710092	281.05	218.3	2.95	2.95	5.75	5.75	39	12	9	0	48_5
933000320047179	BROWNHOOD	115	72	109	83	72	104	108	italy	317	72	5240	0.004162221	193.3333333	0.404526792	53.33333333	4	-0.009796358	3	-0.274004848	0	0	-0.694266363	3	-0.375350518	2	1	-0.982821038	18.02666667	17.51	1	1	13432.11886	10570.5687	362.1	298.35	3.025	3.025	6.925	6.925	46	3	11	0	48_6
933000320047032	BLACK	114	71	108	82	71	103	107	italy	360	71	4560	-0.20225889	33.33333333	0.03557934	120	6	0.370302331	2	-0.355160483	0	4	0.194761191	61	8.350773503	58	46	3.483617101	19.37666667	10.54333333	0.666666667	0.666666667	11275.87793	6803.198622	342.3	193.7	3	3	4.05	4.05	38	3	19	0	48_7
933000320047034	BLACKHOOD	114	71	108	82	71	103	107	italy	280	71	1080	-1.25864928	-120	-0.317995302	-6.666666667	0	-0.769993736	1	-0.436316117	0	0	-0.694266363	1	-0.676251346	1	1	-0.982821038	13.64666667	29.23	1.666666667	1.666666667	7908.317532	5701.658137	225.95	158.25	4.225	4.225	7.4	7.4	23	4	33	0	48_8
