rfid	locomotor_cage	locomotor_t1_age	locomotor_t2_age	locomotor_t1_total_distance	locomotor_t1_rest_time	locomotor_t1_rest_episode_count	locomotor_t1_movement_episode_count	locomotor_t1_vertical_activity_count	locomotor_t1_center_time_legacy	locomotor_t2_total_distance	locomotor_t2_rest_time	locomotor_t2_rest_episode_count	locomotor_t2_movement_episode_count	locomotor_t2_vertical_activity_count	locomotor_t2_center_time_legacy	locomotor_fecal_boli_box	locomotor_fecal_boli_1	locomotor_fecal_boli_2	locomotor_fecal_boli_change	locomotor_fecal_boli_age_1	locomotor_fecal_boli_age_2
933000320045751	4	76	77	4058.93	316.15	130	139	1667	221.18	3011.69	432.7	136	143	1168	63.77	40	1	0	-1	76	77
933000320045756	4	74	75	1669.6	509.62	141	141	868	10.54	1872.8	504.49	148	152	1109	15.39	54	0	0	0	74	75
933000320045757	4	74	75	4554.67	353.01	131	139	1703	151.58	3831.46	333.54	118	126	1135	54.23	18	0	0	0	74	75
933000320045759	4	76	77	5350.88	335.55	148	157	1569	110.57	3588.23	411.87	142	151	1350	93.32	52	0	0	0	76	77
933000320045760	2	76	77	1829.33	413.79	127	134	1297	454.05	1508.5	527.21	162	164	994	539.84	39	8	5	-3	76	77
933000320045761	1	76	77	4538.02	346.38	136	147	1553	108.21	3709.1	386.52	149	159	1332	91.26	55	0	0	0	76	77
933000320045766	3	72	73	4666.24	300.94	129	134	1798	116.84	4396.46	395.99	164	173	1778	124.7	18	0	0	0	72	73
933000320045768	2	76	77	1858.67	465.74	149	152	1139	57.74	2435.73	403.95	153	161	1096	59.76	55	8	0	-8	76	77
933000320045769	3	76	77	1914.47	426.34	144	148	848	41.64	2858.71	370.13	150	156	1177	60.1	54	0	0	0	76	77
933000320045772	2	74	75	4949.98	258.24	126	134	1333	119.98	4184.22	324.68	143	150	1307	133.41	17	0	0	0	74	75
933000320045803	1	78	79	4606.76	276.4	137	143	1534	135.23	3540.74	286.28	129	138	1253	58.71	5	0	0	0	78	79
933000320045804	4	83	84	2184.79	414.98	162	167	1346	473.97	1354.66	451.1	154	159	1038	243.42	24	6	2	-4	83	84
933000320045812	2	85	86	3147.82	399.52	153	159	1103	115.14	2459.61	423.5	163	170	939	71.97	41	5	7	2	85	86
933000320045821	3	83	84	5229.97	233.57	111	123	1641	173.1	3195.95	352.56	143	152	1274	108.5	20	0	0	0	83	84
933000320045822	3	78	79	3022.5	326.48	130	141	1306	236.81	2733.29	373.71	147	152	1182	118.46	6	4	4	0	78	79
933000320045877	1	93	94	1955.16	403.4	135	143	1264	51.6	667.75	496.34	179	178	1065	9.43	43	5	3	-2	93	94
933000320045878	3	93	94	2354.92	353.99	154	159	1132	205.74	2182.16	458.81	179	187	1093	189.4	44	0	0	0	93	94
933000320045880	3	85	86	3629.43	289.54	146	154	1580	254.02	4066.68	301.9	151	158	1525	283.27	14	4	1	-3	85	86
933000320045881	1	91	92	4411.9	211.75	112	125	1613	184.14	2179.89	401.58	149	153	1013	81.5	29	2	4	2	91	92
933000320045882	1	92	93	2960.59	388	141	149	1137	145.28	3161.56	449.48	151	153	1312	148.36	21	4	3	-1	92	93
933000320045883	2	93	94	5077.66	216.51	115	126	1923	373.07	3974.58	347.29	159	163	1709	207.29	43	5	4	-1	93	94
933000320045884	4	84	85	2632.42	438.42	126	135	1554	589.48	1788.62	571.94	154	156	1191	312.76	4	2	3	1	84	85
933000320045885	2	93	94	2109.13	358.04	148	158	1189	162.03	2420.23	364.76	157	164	1539	103.14	29	6	0	-6	93	94
